epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,482.132,0.91729,0.68899,0.88338,0.95372,0.74994,0.86944,0.65893,0.87858,0.60839,0.85359,0.000153535,0.000153535,0.000153535
143,485.616,0.88408,0.67443,0.86874,0.95083,0.73895,0.8633,0.64762,0.88321,0.62239,0.8532,0.000153113,0.000153113,0.000153113
144,488.996,0.89359,0.66612,0.87735,0.76632,0.85187,0.86943,0.65451,0.88633,0.63203,0.85297,0.000152691,0.000152691,0.000152691
145,492.45,0.88731,0.67195,0.87061,0.74678,0.86579,0.88954,0.67041,0.87978,0.61428,0.84878,0.000152269,0.000152269,0.000152269
146,496.037,0.87113,0.66663,0.87558,0.75273,0.88399,0.88894,0.67166,0.86515,0.60547,0.84654,0.000151848,0.000151848,0.000151848
147,499.484,0.86875,0.65741,0.86597,0.77104,0.88863,0.88524,0.66531,0.888,0.60083,0.84879,0.000151426,0.000151426,0.000151426
148,502.889,0.88801,0.67741,0.86756,0.77298,0.89313,0.9023,0.68371,0.8672,0.58749,0.8479,0.000151004,0.000151004,0.000151004
149,506.351,0.87035,0.6506,0.87698,0.77519,0.89459,0.9109,0.69209,0.86809,0.59089,0.84872,0.000150582,0.000150582,0.000150582
150,509.86,0.89809,0.67236,0.87904,0.77019,0.87715,0.89487,0.66886,0.90493,0.60591,0.85027,0.000150161,0.000150161,0.000150161
151,513.286,0.87862,0.65735,0.88139,0.7638,0.84629,0.88492,0.66977,0.87906,0.60571,0.84819,0.000149739,0.000149739,0.000149739
152,516.725,0.88146,0.66876,0.87254,0.79805,0.88577,0.90309,0.6766,0.86938,0.60463,0.84863,0.000149317,0.000149317,0.000149317
153,520.168,0.89254,0.66643,0.87259,0.80307,0.88943,0.9054,0.67741,0.88842,0.61069,0.85319,0.000148896,0.000148896,0.000148896
154,523.651,0.87879,0.66253,0.868,0.79747,0.87161,0.90414,0.6746,0.88501,0.60378,0.85182,0.000148474,0.000148474,0.000148474
155,527.069,0.85913,0.64726,0.87689,0.80013,0.86037,0.90566,0.67752,0.86921,0.58561,0.85043,0.000148052,0.000148052,0.000148052
156,530.616,0.86236,0.64327,0.87057,0.79388,0.85599,0.90282,0.68107,0.86483,0.58809,0.84969,0.00014763,0.00014763,0.00014763
157,534.069,0.86887,0.65673,0.87105,0.81382,0.85503,0.89872,0.6686,0.89311,0.61234,0.85183,0.000147209,0.000147209,0.000147209
158,537.572,0.86324,0.64336,0.86771,0.80398,0.85358,0.89468,0.67655,0.88086,0.60908,0.85061,0.000146787,0.000146787,0.000146787
159,540.915,0.88011,0.65234,0.86791,0.77647,0.85647,0.89776,0.67405,0.88624,0.60661,0.8516,0.000146365,0.000146365,0.000146365
160,544.345,0.87301,0.6452,0.87016,0.80383,0.88981,0.91118,0.68596,0.87307,0.59937,0.84914,0.000145943,0.000145943,0.000145943
161,547.778,0.87395,0.65223,0.87167,0.79096,0.90405,0.90555,0.67795,0.87932,0.59744,0.84814,0.000145522,0.000145522,0.000145522
162,551.173,0.82886,0.62671,0.87004,0.78047,0.90817,0.89397,0.67213,0.87923,0.58885,0.84958,0.0001451,0.0001451,0.0001451
163,554.541,0.85497,0.63408,0.8704,0.77106,0.93721,0.90419,0.67519,0.88407,0.57988,0.85069,0.000144678,0.000144678,0.000144678
164,557.9,0.86364,0.63727,0.86832,0.78914,0.93315,0.90324,0.67779,0.88615,0.59263,0.84994,0.000144256,0.000144256,0.000144256
165,561.208,0.85266,0.63649,0.8697,0.78133,0.92582,0.90289,0.67221,0.87384,0.58639,0.848,0.000143835,0.000143835,0.000143835
166,564.585,0.8841,0.63613,0.8549,0.75617,0.91499,0.89574,0.67121,0.87023,0.59006,0.84892,0.000143413,0.000143413,0.000143413
167,567.886,0.88097,0.63891,0.86905,0.77798,0.8966,0.90579,0.67889,0.86332,0.59692,0.84922,0.000142991,0.000142991,0.000142991
168,571.145,0.89073,0.65083,0.86818,0.76642,0.91456,0.90525,0.6832,0.86206,0.59205,0.84857,0.000142569,0.000142569,0.000142569
169,574.422,0.88504,0.64731,0.868,0.77312,0.90016,0.92234,0.68935,0.8733,0.58977,0.8482,0.000142148,0.000142148,0.000142148
170,577.673,0.87711,0.64864,0.87297,0.81147,0.89087,0.91989,0.69422,0.88234,0.59718,0.8497,0.000141726,0.000141726,0.000141726
171,580.937,0.85978,0.63721,0.86826,0.77658,0.90503,0.90431,0.68099,0.87214,0.59921,0.84851,0.000141304,0.000141304,0.000141304
172,584.18,0.86361,0.64522,0.86553,0.77672,0.91497,0.89298,0.6678,0.88092,0.60882,0.85194,0.000140882,0.000140882,0.000140882
173,587.425,0.87174,0.644,0.86429,0.79042,0.90137,0.89388,0.66845,0.88495,0.60854,0.85265,0.000140461,0.000140461,0.000140461
174,590.789,0.87364,0.63701,0.8615,0.78535,0.88945,0.91014,0.69073,0.882,0.60684,0.84995,0.000140039,0.000140039,0.000140039
175,594.24,0.87723,0.64251,0.86381,0.78039,0.89719,0.91331,0.6868,0.86059,0.60298,0.84764,0.000139617,0.000139617,0.000139617
176,597.802,0.88478,0.64641,0.87464,0.72535,0.90405,0.89161,0.67157,0.88287,0.60101,0.84785,0.000139196,0.000139196,0.000139196
